Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
rr,DC1-BL1,Ethernet1,p,DC1-SP1,Ethernet5,True
rr,DC1-BL1,Ethernet2,p,DC1-SP2,Ethernet5,True
rr,DC1-BL1,Ethernet3,other,DC2-BL1,Ethernet3,True
rr,DC1-BL1,Ethernet4,other,DC2-BL2,Ethernet4,True
rr,DC1-BL1,Ethernet8,rr,DC1-BL2,Ethernet8,True
rr,DC1-BL2,Ethernet1,p,DC1-SP1,Ethernet6,True
rr,DC1-BL2,Ethernet2,p,DC1-SP2,Ethernet6,True
rr,DC1-BL2,Ethernet3,other,DC2-BL2,Ethernet3,True
rr,DC1-BL2,Ethernet4,other,DC2-BL1,Ethernet4,True
rr,DC1-BL2,Ethernet8,rr,DC1-BL1,Ethernet8,True
pe,DC1-CL1,Ethernet1,p,DC1-SP1,Ethernet1,True
pe,DC1-CL1,Ethernet2,p,DC1-SP2,Ethernet1,True
pe,DC1-CL1,Ethernet8,pe,DC1-CL2,Ethernet8,True
pe,DC1-CL2,Ethernet1,p,DC1-SP1,Ethernet2,True
pe,DC1-CL2,Ethernet2,p,DC1-SP2,Ethernet2,True
pe,DC1-CL2,Ethernet8,pe,DC1-CL1,Ethernet8,True
pe,DC1-CL3,Ethernet1,p,DC1-SP1,Ethernet3,True
pe,DC1-CL3,Ethernet2,p,DC1-SP2,Ethernet3,True
pe,DC1-CL3,Ethernet8,pe,DC1-CL4,Ethernet8,True
pe,DC1-CL4,Ethernet1,p,DC1-SP1,Ethernet4,True
pe,DC1-CL4,Ethernet2,p,DC1-SP2,Ethernet4,True
pe,DC1-CL4,Ethernet8,pe,DC1-CL3,Ethernet8,True
p,DC1-SP1,Ethernet1,pe,DC1-CL1,Ethernet1,True
p,DC1-SP1,Ethernet2,pe,DC1-CL2,Ethernet1,True
p,DC1-SP1,Ethernet3,pe,DC1-CL3,Ethernet1,True
p,DC1-SP1,Ethernet4,pe,DC1-CL4,Ethernet1,True
p,DC1-SP1,Ethernet5,rr,DC1-BL1,Ethernet1,True
p,DC1-SP1,Ethernet6,rr,DC1-BL2,Ethernet1,True
p,DC1-SP1,Ethernet7,p,DC1-SP2,Ethernet7,True
p,DC1-SP2,Ethernet1,pe,DC1-CL1,Ethernet2,True
p,DC1-SP2,Ethernet2,pe,DC1-CL2,Ethernet2,True
p,DC1-SP2,Ethernet3,pe,DC1-CL3,Ethernet2,True
p,DC1-SP2,Ethernet4,pe,DC1-CL4,Ethernet2,True
p,DC1-SP2,Ethernet5,rr,DC1-BL1,Ethernet2,True
p,DC1-SP2,Ethernet6,rr,DC1-BL2,Ethernet2,True
p,DC1-SP2,Ethernet7,p,DC1-SP1,Ethernet7,True
